,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
456,1,0,0.0,0,4,78,1818,100.0,9062
457,1,0,0.0,0,49,78,2200,150.0,9062
458,1,1,4.2,150,1,19,740,600.0,2502
459,1,0,4.0,232,4,27,1892,750.0,9062
460,1,0,3.9,38,4,78,814,200.0,9062
461,1,0,0.0,0,1,78,1481,300.0,9062
462,1,1,3.5,431,32,27,1818,800.0,9062
463,1,1,4.2,2115,1,27,2332,800.0,9062
464,1,0,3.4,30,84,78,1286,200.0,9062
465,1,0,4.2,150,32,27,1818,800.0,2983
466,1,0,3.3,12,49,78,834,200.0,9062
467,1,0,3.8,155,32,27,2568,450.0,9062
468,1,0,3.7,33,4,78,1254,200.0,9062
469,1,1,4.1,666,32,28,67,1000.0,9062
470,1,0,0.0,0,32,78,1342,200.0,7352
471,1,0,3.9,240,4,19,577,700.0,9062
472,1,0,3.8,918,1,22,764,800.0,9062
473,1,0,4.0,465,32,27,2568,600.0,4906
474,1,1,4.1,970,32,69,2053,1500.0,9062
475,1,0,3.3,128,1,78,1892,300.0,9062
476,1,0,3.6,241,49,78,1892,300.0,9062
477,1,0,3.4,22,1,78,2455,200.0,9062
478,1,0,4.3,734,1,78,2568,200.0,5670
479,1,0,3.8,130,32,78,1859,400.0,9062
480,1,0,4.2,261,32,19,651,700.0,9062
481,1,0,4.0,191,49,78,2569,300.0,214
482,1,0,4.1,364,4,27,2504,550.0,228
483,1,0,0.0,0,49,78,1878,500.0,9062
484,1,0,3.8,133,1,78,1715,300.0,9062
485,1,0,3.9,888,1,27,2235,750.0,4896
486,1,0,3.1,13,1,19,636,400.0,9062
487,1,0,3.9,750,4,27,2009,500.0,6019
488,1,1,4.2,164,1,19,636,500.0,9062
489,0,0,0.0,0,4,78,1254,200.0,9062
490,1,0,3.2,6,1,39,2672,200.0,6781
491,1,0,3.8,527,4,27,1818,500.0,9062
492,0,0,4.3,345,1,40,1496,400.0,9062
493,0,0,4.4,356,1,88,1743,150.0,9062
494,1,0,3.7,17,1,40,1198,400.0,7169
495,1,0,3.9,38,1,40,1489,150.0,3247
496,0,0,3.7,78,1,3,260,150.0,9062
497,0,0,3.8,60,1,40,260,400.0,9062
498,1,0,4.0,115,1,88,1756,400.0,7555
499,0,0,3.8,39,1,0,271,300.0,9062
500,1,0,3.9,116,1,40,1499,400.0,4721
501,1,0,3.8,918,1,22,764,800.0,9062
502,0,0,3.7,46,1,90,1756,400.0,9062
503,1,0,3.9,41,1,40,1192,300.0,9062
504,1,0,3.8,144,1,19,839,700.0,9062
505,0,0,3.8,28,1,16,1585,150.0,9062
506,1,0,4.3,860,1,40,1217,500.0,9062
507,0,0,3.5,14,1,88,1756,200.0,9062
508,0,0,4.0,66,1,0,271,300.0,9062
509,1,0,3.2,8,1,88,1756,100.0,727
510,1,0,3.7,54,1,16,1203,400.0,9062
511,0,0,3.5,7,1,40,1192,500.0,9062
512,0,0,3.2,9,1,40,1489,300.0,9062
513,0,0,3.6,42,1,17,374,300.0,9062
514,0,0,3.8,64,1,78,1261,250.0,9062
515,1,0,3.6,14,1,0,271,350.0,8094
516,0,0,3.8,45,1,92,260,400.0,9062
517,0,0,3.2,11,1,19,598,600.0,9062
518,0,0,3.5,13,1,0,271,300.0,9062
519,0,0,3.4,7,1,40,1496,150.0,9062
520,0,0,3.4,8,1,0,271,400.0,9062
521,0,0,0.0,0,1,40,1743,150.0,9062
522,0,0,0.0,0,1,0,260,300.0,9062
523,0,0,2.9,25,1,40,1496,200.0,9062
524,0,0,0.0,0,1,0,260,300.0,9062
525,0,0,3.2,17,1,40,1217,150.0,9062
526,0,0,0.0,0,1,39,271,500.0,9062
527,0,0,0.0,0,1,88,1743,300.0,9062
528,0,0,0.0,0,1,38,1192,200.0,9062
529,1,0,0.0,0,1,78,2394,200.0,8691
530,1,0,3.9,35,1,39,271,500.0,2879
531,1,0,3.9,70,1,40,1317,400.0,9062
532,0,0,0.0,0,1,40,1489,100.0,9062
533,0,0,4.0,98,4,90,1759,400.0,9062
534,0,0,3.7,25,4,40,1496,250.0,9062
535,1,0,4.0,219,4,19,733,600.0,8664
536,1,0,4.0,73,4,0,294,300.0,5430
